timestamp(ns),image_idx
1709593543901636255,318
1709593543935353754,319
1709593543968748008,320
1709593544002153725,321
1709593544035171875,322
1709593544068550746,323
1709593544101992079,324
1709593544135283501,325
1709593544168820356,326
1709593544202289496,327
1709593544235312375,328
1709593544268704660,329
1709593544302345964,330
1709593544335754667,331
1709593544368932665,332
1709593544402181848,333
1709593544435634225,334
1709593544468778580,335
1709593544501992348,336
1709593544535507031,337
1709593544568683561,338
1709593544602169032,339
1709593544635500699,340
1709593544668715779,341
1709593544701871311,342
1709593544735554707,343
1709593544768747749,344
1709593544802276887,345
1709593544835290710,346
1709593544868751159,347
1709593544902119410,348
1709593544935361950,349
1709593544969034696,350
1709593545002390993,351
1709593545035712029,352
1709593545068943467,353
1709593545102732954,354
1709593545135492219,355
1709593545169072031,356
1709593545202430801,357
1709593545235419554,358
1709593545269090563,359
1709593545301994350,360
1709593545335226981,361
1709593545368493442,362
1709593545402064178,363
1709593545435297079,364
1709593545468518786,365
1709593545501946280,366
1709593545535441366,367
1709593545568608068,368
1709593545602127012,369
1709593545635328017,370
1709593545668950750,371
1709593545702271617,372
1709593545735647612,373
1709593545769125392,374
1709593545803057500,375
1709593545835438030,376
1709593545868739833,377
1709593545902313498,378
1709593545935406768,379
1709593545968739328,380
1709593546002290644,381
1709593546035330051,382
1709593546068428971,383
1709593546102186927,384
1709593546135460041,385
1709593546168908787,386
1709593546202176496,387
1709593546235791902,388
1709593546268799495,389
1709593546301981483,390
1709593546335342867,391
1709593546369258168,392
1709593546402573110,393
1709593546435498451,394
1709593546468888384,395
1709593546502415897,396
1709593546535281959,397
1709593546568667766,398
1709593546602262347,399
1709593546635676023,400
1709593546668794118,401
1709593546701776810,402
1709593546735272576,403
1709593546768523451,404
1709593546802074661,405
1709593546835245812,406
1709593546868866947,407
1709593546902284051,408
1709593546935402141,409
1709593546968806008,410
1709593547002037663,411
1709593547035427148,412
1709593547068740068,413
1709593547102301340,414
1709593547135432819,415
1709593547168885378,416
1709593547202321928,417
1709593547235414832,418
1709593547269074477,419
1709593547302381355,420
1709593547335524682,421
1709593547368857193,422
1709593547402287363,423
1709593547435566055,424
1709593547469279504,425
1709593547502054364,426
1709593547535849491,427
1709593547569161774,428
1709593547602631827,429
1709593547635272512,430
1709593547669310618,431
1709593547702828543,432
1709593547735574477,433
1709593547769039644,434
1709593547802324004,435
1709593547835503019,436
1709593547868808442,437
1709593547902282964,438
1709593547935327162,439
1709593547968911632,440
1709593548002371008,441
1709593548035287868,442
1709593548068654245,443
1709593548101703479,444
1709593548135366546,445
1709593548168559096,446
1709593548201982217,447
1709593548235280833,448
1709593548268703318,449
1709593548302206234,450
1709593548335259287,451
1709593548368658950,452
1709593548402025528,453
1709593548435357572,454
1709593548469373683,455
1709593548502383066,456
1709593548535556842,457
1709593548568861127,458
1709593548602442798,459
1709593548635428649,460
1709593548668569352,461
1709593548702208267,462
1709593548735545151,463
1709593548768580409,464
